codigo_super_cias,etiqueta,actividad,columna,categoria
102011403,(-) DETERIORO  ACUMULADO DE ACTIVOS DE EXPLORACIÓN Y EXPLOTACIÓN,OPERACION,V,Gstos que no desenvolso de efectivo
102020101,TERRENOS,INVERSION,Y,Total Actividades de Inversión
102020102,DERECHOS DE USO SOBRE TERRENOS SUBARRENDADOS,INVERSION,Y,Total Actividades de Inversión
102020201,EDIFICIOS,INVERSION,Y,Total Actividades de Inversión
102020202,DERECHOS DE USO SOBRE EDIFICIOS SUBARRENDADOS,INVERSION,Y,Total Actividades de Inversión
1020203,(-) DEPRECIACION ACUMULADA DE PROPIEDADES DE INVERSIÓN,OPERACION,V,Gstos que no desenvolso de efectivo
1020204,(-) DETERIORO ACUMULADO DE PROPIEDADES DE INVERSIÓN,OPERACION,V,Gstos que no desenvolso de efectivo
1020301,ANIMALES VIVOS EN CRECIMIENTO,INVERSION,Y,Total Actividades de Inversión
1020302,ANIMALES VIVOS EN PRODUCCION,INVERSION,Y,Total Actividades de Inversión
1020303,PLANTAS EN CRECIMIENTO,INVERSION,Y,Total Actividades de Inversión
1020304,PLANTAS EN PRODUCCION,INVERSION,Y,Total Actividades de Inversión
1020305,(-) DEPRECIACION ACUMULADA DE ACTIVOS BIOLÓGICOS,OPERACION,V,Gstos que no desenvolso de efectivo
1020306,(-) DETERIORO ACUMULADO DE ACTIVOS BIOLOGÍCOS,OPERACION,V,Gstos que no desenvolso de efectivo
1020401,PLUSVALÍAS,INVERSION,Y,Total Actividades de Inversión
1020402,"MARCAS, PATENTES, DERECHOS DE LLAVE , CUOTAS PATRIMONIALES Y OTROS SIMILARES",INVERSION,Y,Total Actividades de Inversión
1020403,CONCESIONES Y LICENCIAS,INVERSION,Y,Total Actividades de Inversión
1020404,ACTIVOS DE EXPLORACION Y EXPLOTACION,INVERSION,Y,Total Actividades de Inversión
1020405,(-) AMORTIZACIÓN ACUMULADA DE ACTIVOS INTANGIBLE,OPERACION,V,Gstos que no desenvolso de efectivo
1020406,(-) DETERIORO ACUMULADO DE ACTIVO INTANGIBLE,OPERACION,V,Gstos que no desenvolso de efectivo
1020407,OTROS INTANGIBLES,INVERSION,Y,Total Actividades de Inversión
10205,ACTIVOS POR IMPUESTOS DIFERIDOS,OPERACION,U,Incremento  (disminución) en otros pasivos
1020601,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL,INVERSION,Y,Total Actividades de Inversión
1020603,ACTIVOS FINANCIEROS A COSTO AMORTIZADO,INVERSION,Y,Total Actividades de Inversión
1020604,(-) PROVISIÓN POR DETERIORO DE ACTIVOS FINANCIEROS A COSTO AMORTIZADO,OPERACION,V,Gstos que no desenvolso de efectivo
1020605,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,INVERSION,Y,Total Actividades de Inversión
1020606,(-)PROVISIÓN POR DETERIORO DE ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,OPERACION,V,Gstos que no desenvolso de efectivo
1020701,(-) DEPRECIACIÓN ACUMULADA DE ACTIVOS PROVENIENTES POR DERECHOS DE USO,OPERACION,V,Gstos que no desenvolso de efectivo
1020702,(-) DETERIORO ACUMULADO DE ACTIVOS PROVENIENTES POR DERECHOS DE USO,OPERACION,V,Gstos que no desenvolso de efectivo
1020703,DERECHO DE USO POR ACTIVOS ARRENDADOS,OPERACION,P,(Incremento) disminución en otros activos
1020801,DERECHOS FIDUCIARIOS,INVERSION,Y,Total Actividades de Inversión
1020802,DEPÓSITOS EN GARANTÍA,INVERSION,Y,Total Actividades de Inversión
1020803,DEPÓSITOS EN GARANTÍA POR OPERACIONES BURSÁTILES,INVERSION,Y,Total Actividades de Inversión
1020805,ACCIONES DEL DEPÓSITO CENTRALIZADO DE VALORES,INVERSION,Y,Total Actividades de Inversión
1020806,INVERSIONES SUBSIDIARIAS,INVERSION,Y,Total Actividades de Inversión
1020807,INVERSIONES ASOCIADAS,INVERSION,Y,Total Actividades de Inversión
1020808,INVERSIONES NEGOCIOS CONJUNTOS,INVERSION,Y,Total Actividades de Inversión
1020809,OTRAS INVERSIONES,INVERSION,Y,Total Actividades de Inversión
1020810,(-) PROVISIÓN VALUACIÓN DE INVERSIONES,OPERACION,V,Gstos que no desenvolso de efectivo
1020811,OTROS ACTIVOS NO CORRIENTES,INVERSION,Y,Total Actividades de Inversión
1020901,CUENTAS Y DOCUMENTOS A COBRAR  A CLIENTES,OPERACION,L,(Incremento) disminución en cuentas por cobrar clientes
1020902,CUENTAS Y DOCUMENTOS A COBRAR  A TERCEROS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
1020903,OTRAS CUENTAS POR COBRAR NO RELACIONADAS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
1021001,POR COBRAR A ACCIONISTAS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
1021002,POR COBRAR A COMPAÑÍAS RELACIONADAS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
1021003,POR COBRAR A CLIENTES,OPERACION,L,(Incremento) disminución en cuentas por cobrar clientes
1021004,OTRAS CUENTAS POR COBRAR RELACIONADAS,OPERACION,M,(Incremento) disminución en otras cuentas por cobrar
20101,PASIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,OPERACION,U,Incremento  (disminución) en otros pasivos
20102,PASIVOS POR CONTRATOS DE ARRENDAMIENTO,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
201030101,PRÉSTAMOS,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
201030102,PROVEEDORES,OPERACION,Q,Incremento  (disminución) en cuentas por pagar comerciales
201030103,OTRAS,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
201030201,PRÉSTAMOS,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
201030202,PROVEEDORES,OPERACION,Q,Incremento  (disminución) en cuentas por pagar comerciales
201030203,OTRAS,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2010401,LOCALES,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2010402,DEL EXTERIOR,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2010501,LOCALES,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2010502,DEL EXTERIOR,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2010601,OBLIGACIONES,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2010602,PAPEL COMERCIAL,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2010603,VALORES DE TITULARIZACIÓN,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2010604,OTROS,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2010605,INTERESES POR PAGAR,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2010701,CON LA ADMINISTRACIÓN TRIBUTARIA,OPERACION,U,Incremento  (disminución) en otros pasivos
2010702,IMPUESTO A LA RENTA POR PAGAR DEL EJERCICIO,OPERACION,U,Incremento  (disminución) en otros pasivos
2010703,CON EL IESS,OPERACION,S,Incremento  (disminución) en beneficios empleados
2010704,POR BENEFICIOS DE LEY A EMPLEADOS,OPERACION,S,Incremento  (disminución) en beneficios empleados
2010705,PARTICIPACIÓN TRABAJADORES POR PAGAR DEL EJERCICIO,OPERACION,S,Incremento  (disminución) en beneficios empleados
2010706,DIVIDENDOS POR PAGAR,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2010707,OTROS,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
201080101,PRÉSTAMOS DE ACCIONISTAS,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
201080102,PRÉSTAMOS DE COMPAÑÍAS RELACIONADAS,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
201080103,PROVEEDORES,OPERACION,Q,Incremento  (disminución) en cuentas por pagar comerciales
201080104,OTROS,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
201080201,PRÉSTAMOS DE ACCIONISTAS,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
201080202,PRÉSTAMOS DE COMPAÑÍAS RELACIONADAS,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
201080203,PROVEEDORES,OPERACION,Q,Incremento  (disminución) en cuentas por pagar comerciales
201080204,OTROS,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
20109,OTROS PASIVOS FINANCIEROS,OPERACION,U,Incremento  (disminución) en otros pasivos
2011001,ANTICIPOS DE CLIENTES,OPERACION,T,Incremento  (disminución) en anticipos de clientes
2011002,OTROS ANTICIPOS RECIBIDOS,OPERACION,T,Incremento  (disminución) en anticipos de clientes
20111,PASIVOS DIRECTAMENTE ASOCIADOS CON LOS ACTIVOS NO CORRIENTES Y OPERACIONES DISCONTINUADAS,OPERACION,U,Incremento  (disminución) en otros pasivos
2011201,JUBILACION PATRONAL,OPERACION,V,Gstos que no desenvolso de efectivo
2011202,OTROS BENEFICIOS PARA LOS EMPLEADOS,OPERACION,V,Gstos que no desenvolso de efectivo
2011301,COMISIONES POR PAGAR,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2011302,POR OPERACIONES BURSÁTILES,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2011303,POR CUSTODIA,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2011304,POR ADMINISTRACIÓN,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2011305,OTRAS COMISIONES,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2011306,SANCIONES Y MULTAS,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2011307,INDEMNIZACIONES,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2011308,OBLIGACIONES JUDICIALES,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2011309,ACREEDORES POR INTERMEDIACIÓN,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2011310,OBLIGACIÓN POR COMPROMISO DE RECOMPRA,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2011311,POR CONTRATOS DE UNDERWRITING,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2011312,OTROS,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
20114,PASIVOS FINANCIEROS AL COSTO AMORTIZADO,OPERACION,U,Incremento  (disminución) en otros pasivos
20201,PASIVOS POR CONTRATOS DE ARRENDAMIENTO,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
202020101,PRÉSTAMOS,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
202020102,PROVEEDORES,OPERACION,Q,Incremento  (disminución) en cuentas por pagar comerciales
202020103,OTRAS,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
202020201,PRÉSTAMOS,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
202020202,PROVEEDORES,OPERACION,Q,Incremento  (disminución) en cuentas por pagar comerciales
202020203,OTRAS,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2020301,LOCALES,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2020302,DEL EXTERIOR,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
202040101,PRÉSTAMOS DE ACCIONISTAS,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
202040102,PRÉSTAMOS DE COMPAÑÍAS RELACIONADAS,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
202040103,PROVEEDORES,OPERACION,Q,Incremento  (disminución) en cuentas por pagar comerciales
202040104,OTROS,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
202040201,PRÉSTAMOS DE ACCIONISTAS,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
202040202,PRÉSTAMOS DE COMPAÑÍAS RELACIONADAS,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
202040203,PROVEEDORES,OPERACION,Q,Incremento  (disminución) en cuentas por pagar comerciales
202040204,OTROS,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2020501,OBLIGACIONES,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2020502,PAPEL COMERCIAL,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2020503,VALORES DE TITULARIZACIÓN,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2020504,OTROS,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2020505,INTERESES POR PAGAR,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
2020601,ANTICIPOS DE CLIENTES,OPERACION,T,Incremento  (disminución) en anticipos de clientes
2020602,OTROS ANTICIPOS RECIBIDOS,OPERACION,T,Incremento  (disminución) en anticipos de clientes
2020701,JUBILACION PATRONAL,OPERACION,V,Gstos que no desenvolso de efectivo
2020702,OTROS BENEFICIOS NO CORRIENTES PARA LOS EMPLEADOS,OPERACION,V,Gstos que no desenvolso de efectivo
20208,OTRAS PROVISIONES,OPERACION,R,Incremento  (disminución) en otras cuentas por pagar
2020901,INGRESOS DIFERIDOS,OPERACION,T,Incremento  (disminución) en anticipos de clientes
2020902,PASIVOS POR IMPUESTOS DIFERIDOS,OPERACION,U,Incremento  (disminución) en otros pasivos
20210,OTROS PASIVOS NO CORRIENTES,OPERACION,U,Incremento  (disminución) en otros pasivos
30101,CAPITAL SUSCRITO O  ASIGNADO,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
30102,"(-) CAPITAL SUSCRITO NO PAGADO, ACCIONES EN TESORERÍA",FINANCIAMIENTO,AA,Total Actividades de Financiamiento
30103,FONDO PATRIMONIAL,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
3010501,PATRIMONIO DEL FONDO ADMINISTRADO,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
3010502,PATRIMONIO DEL FONDO COLECTIVO,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
302,APORTES DE SOCIOS O ACCIONISTAS PARA FUTURA CAPITALIZACIÓN,FINANCIAMIENTO,AA,Total Actividades de Financiamiento
30401,RESERVA LEGAL,OPERACION,V,Gstos que no desenvolso de efectivo
30402,RESERVAS FACULTATIVA Y ESTATUTARIA,OPERACION,V,Gstos que no desenvolso de efectivo
30501,SUPERAVIT DE ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL,OPERACION,V,Gstos que no desenvolso de efectivo
30502,"SUPERAVIT POR REVALUACIÓN DE PROPIEDADES, PLANTA Y EQUIPO",OPERACION,V,Gstos que no desenvolso de efectivo
30503,SUPERAVIT POR REVALUACION DE ACTIVOS INTANGIBLES,OPERACION,V,Gstos que no desenvolso de efectivo
30504,OTROS SUPERAVIT POR REVALUACION,OPERACION,V,Gstos que no desenvolso de efectivo
30601,GANANCIAS ACUMULADAS,OPERACION,S,Incremento  (disminución) en beneficios empleados
30602,(-) PÉRDIDAS ACUMULADAS,OPERACION,V,Gstos que no desenvolso de efectivo
30603,RESULTADOS ACUMULADOS PROVENIENTES DE LA ADOPCION POR PRIMERA VEZ DE LAS NIIF,OPERACION,V,Gstos que no desenvolso de efectivo
30604,RESERVA DE CAPITAL,OPERACION,V,Gstos que no desenvolso de efectivo
30605,RESERVA POR DONACIONES,OPERACION,V,Gstos que no desenvolso de efectivo
30606,RESERVA POR VALUACIÓN,OPERACION,V,Gstos que no desenvolso de efectivo
30607,SUPERÁVIT POR REVALUACIÓN DE INVERSIONES,OPERACION,V,Gstos que no desenvolso de efectivo
30701,GANANCIA NETA DEL PERIODO,OPERACION,V,Gstos que no desenvolso de efectivo
30702,(-) PÉRDIDA NETA DEL PERIODO,OPERACION,V,Gstos que no desenvolso de efectivo
31,PARTICIPACIÓN CONTROLADORA,OPERACION,V,Gstos que no desenvolso de efectivo
